iter	Passed	Remaining
0	151	151782
1	152	76285
2	153	51062
3	154	38432
4	155	30881
5	156	25847
6	156	22260
7	159	19721
8	159	17589
9	161	15948
10	161	14553
11	162	13395
12	163	12438
13	165	11624
14	166	10908
15	167	10287
16	168	9727
17	169	9232
18	170	8796
19	171	8393
20	172	8026
21	173	7692
22	174	7392
23	174	7114
24	176	6866
25	177	6633
26	177	6409
27	178	6199
28	179	6005
29	180	5821
30	180	5648
31	181	5482
32	181	5331
33	182	5188
34	183	5052
35	183	4923
36	184	4801
37	185	4684
38	185	4575
39	186	4474
40	187	4377
41	188	4290
42	188	4202
43	189	4117
44	190	4035
45	190	3955
46	191	3879
47	191	3807
48	192	3737
49	193	3670
50	193	3606
51	194	3545
52	195	3487
53	195	3431
54	196	3377
55	197	3323
56	197	3272
57	198	3224
58	199	3178
59	200	3137
60	201	3096
61	201	3055
62	202	3012
63	203	2972
64	203	2933
65	204	2893
66	205	2855
67	205	2814
68	205	2779
69	206	2743
70	207	2710
71	207	2678
72	208	2647
73	209	2615
74	209	2585
75	210	2556
76	210	2528
77	211	2502
78	212	2475
79	213	2450
80	213	2426
81	214	2402
82	215	2377
83	215	2353
84	216	2327
85	216	2303
86	217	2277
87	217	2255
88	218	2235
89	218	2214
90	219	2192
91	220	2172
92	220	2152
93	221	2132
94	221	2113
95	222	2095
96	223	2076
97	223	2059
98	224	2042
99	225	2027
100	226	2013
101	226	1995
102	227	1979
103	228	1964
104	228	1948
105	229	1933
106	229	1917
107	230	1902
108	230	1888
109	231	1873
110	232	1859
111	232	1845
112	233	1832
113	233	1818
114	234	1805
115	235	1792
116	235	1779
117	236	1769
118	237	1756
119	238	1745
120	238	1735
121	239	1725
122	240	1712
123	240	1701
124	241	1689
125	241	1678
126	242	1667
127	242	1654
128	243	1643
129	243	1632
130	244	1622
131	245	1611
132	245	1601
133	246	1591
134	246	1581
135	247	1571
136	247	1562
137	248	1551
138	249	1543
139	249	1534
140	250	1527
141	251	1519
142	252	1511
143	252	1503
144	253	1494
145	253	1485
146	254	1477
147	255	1469
148	255	1461
149	256	1453
150	256	1444
151	257	1436
152	258	1428
153	258	1420
154	259	1413
155	259	1405
156	260	1397
157	260	1390
158	261	1382
159	261	1374
160	262	1368
161	263	1361
162	264	1355
163	264	1350
164	265	1344
165	266	1338
166	267	1331
167	267	1325
168	268	1318
169	268	1312
170	269	1306
171	270	1300
172	270	1293
173	271	1287
174	271	1281
175	272	1275
176	272	1269
177	273	1263
178	274	1257
179	274	1251
180	275	1244
181	275	1239
182	276	1234
183	277	1229
184	278	1225
185	279	1221
186	279	1216
187	280	1211
188	281	1206
189	281	1201
190	282	1195
191	283	1191
192	283	1185
193	284	1180
194	284	1175
195	285	1170
196	286	1165
197	286	1161
198	287	1156
199	287	1151
200	288	1147
201	289	1142
202	290	1139
203	290	1135
204	291	1130
205	292	1126
